step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.40411,0.69159,,
2,1.51533,0.64978,,
3,1.49711,0.67476,,
4,1.65293,0.61165,,
5,1.25404,0.69863,,
6,1.30161,0.6881,,
7,1.42804,0.66165,,
8,1.73737,0.64667,,
9,1.19682,0.71429,,
10,1.2809,0.73151,,
11,2.03403,0.5942,,
12,1.16194,0.7,,
13,1.15322,0.69101,,
14,1.39329,0.68248,,
15,1.41011,0.65336,,
16,1.32669,0.70043,,
17,1.49508,0.66845,,
18,2.09259,0.57692,,
19,1.97761,0.6,,
20,1.21004,0.70352,,
21,1.23937,0.69027,,
22,1.68831,0.58621,,
23,1.52161,0.65143,,
24,1.3088,0.65974,,
25,1.27773,0.68944,,
26,1.40501,0.64565,,
27,1.10755,0.75305,,
28,1.21766,0.66174,,
29,1.09664,0.72034,,
30,1.62784,0.58007,,
31,1.04178,0.71924,,
32,1.14968,0.66139,,
33,1.52308,0.6186,,
34,1.08419,0.71158,,
35,1.20382,0.66269,,
36,0.95579,0.71094,,
37,1.13162,0.72103,,
38,1.02271,0.70408,,
39,1.12415,0.69565,,
40,1.18689,0.66268,,
41,1.52177,0.58937,,
42,0.73653,0.77911,,
43,1.27217,0.63095,,
44,0.94428,0.71227,,
45,0.86829,0.74216,,
46,1.2254,0.63819,,
47,0.96054,0.70642,,
48,1.06739,0.66667,,
49,0.94254,0.72745,,
50,1.1374,0.67435,,
51,0.83251,0.74394,,
52,1.10426,0.68,,
53,1.1338,0.65429,,
54,0.98938,0.69892,,
55,0.94391,0.69425,,
56,0.85511,0.73955,,
57,1.07571,0.67413,,
58,0.90221,0.72263,,
59,1.15457,0.67705,,
60,1.05515,0.67262,,
61,0.82311,0.7619,,
62,0.92069,0.73077,,
63,0.9668,0.70288,,
64,0.96811,0.69903,,
65,0.67236,0.78675,,
66,0.87692,0.71311,,
67,0.75145,0.77719,,
68,0.9646,0.75107,,
69,0.74239,0.77138,,
70,1.30503,0.61607,,
71,0.83602,0.73599,,
72,1.21937,0.65174,,
73,0.75344,0.78438,,
74,0.9632,0.69825,,
75,0.63679,0.8021,,
76,0.88749,0.72703,,
77,0.74327,0.75468,,
78,0.78366,0.74293,,
79,1.45305,0.62921,,
80,0.77445,0.75218,,
81,0.99181,0.6951,,
82,0.88473,0.71351,,
83,1.10618,0.69304,,
84,0.83136,0.74474,,
85,0.98411,0.73913,,
86,0.93772,0.7197,,
87,0.68806,0.79089,,
88,0.90135,0.71526,,
89,0.75409,0.7725,,
90,0.68045,0.78008,,
91,0.67177,0.80447,,
92,0.71547,0.77097,,
93,1.07902,0.67213,,
94,0.82716,0.749,,
95,0.93765,0.70417,,
96,0.91622,0.72616,,
97,0.8303,0.73697,,
98,0.7933,0.75806,,
99,0.83743,0.76978,,
100,0.75158,0.76336,0.5191,0.8308
101,0.9931,0.69903,,
102,0.68554,0.80129,,
103,0.74796,0.79592,,
104,0.72175,0.78631,,
105,0.9338,0.72676,,
106,0.73286,0.78188,,
107,0.59807,0.81683,,
108,0.84211,0.76077,,
109,0.82807,0.73962,,
110,0.58448,0.84096,,
111,0.70284,0.7867,,
112,0.74714,0.76728,,
113,0.86092,0.74021,,
114,0.93002,0.75563,,
115,0.83796,0.74372,,
116,0.76844,0.7716,,
117,0.96154,0.73709,,
118,0.98629,0.72024,,
119,1.16064,0.69307,,
120,0.74364,0.77778,,
121,0.85783,0.76152,,
122,1.11646,0.71613,,
123,0.64559,0.77805,,
124,0.79593,0.77797,,
125,0.71109,0.79727,,
126,0.62045,0.80342,,
127,0.53889,0.82938,,
128,0.6888,0.79528,,
129,0.58104,0.80863,,
130,0.70711,0.78075,,
131,0.73733,0.77117,,
132,0.64444,0.77922,,
133,0.75278,0.74531,,
134,1.01408,0.74302,,
135,0.64267,0.79964,,
136,0.679,0.80132,,
137,0.87433,0.74405,,
138,0.66557,0.79944,,
139,0.66829,0.80205,,
140,0.62567,0.81627,,
141,0.79572,0.77432,,
142,0.5491,0.87317,,
143,0.62332,0.84551,,
144,0.57391,0.82171,,
145,0.74973,0.78341,,
146,0.69528,0.78388,,
147,0.67544,0.76737,,
148,0.51449,0.85012,,
149,0.53039,0.82918,,
150,0.71192,0.80503,,
151,0.8033,0.77019,,
152,0.54815,0.83805,,
153,0.6838,0.7932,,
154,0.54155,0.84762,,
155,0.53085,0.83551,,
156,0.68967,0.78505,,
157,0.55958,0.82677,,
158,0.55853,0.8134,,
159,0.6115,0.80628,,
160,0.62784,0.79279,,
161,0.73278,0.77083,,
162,0.6836,0.79867,,
163,0.59399,0.81563,,
164,0.63124,0.81,,
165,0.58801,0.80505,,
166,0.53837,0.83962,,
167,0.59108,0.81429,,
168,0.53084,0.81833,,
169,0.63387,0.80784,,
170,0.57893,0.7968,,
171,0.36891,0.87192,,
172,0.46032,0.86145,,
173,0.53392,0.816,,
174,0.92678,0.72589,,
175,0.5707,0.80092,,
176,0.59966,0.80769,,
177,0.55843,0.84091,,
178,0.6084,0.80033,,
179,0.58837,0.83596,,
180,0.5321,0.79245,,
181,0.79753,0.74874,,
182,0.49336,0.8599,,
183,0.605,0.82114,,
184,1.20708,0.73387,,
185,0.82245,0.74454,,
186,0.36967,0.88739,,
187,0.50394,0.8535,,
188,0.77492,0.78006,,
189,0.43149,0.87263,,
190,0.53224,0.8138,,
